Year,Month,Temp. Anomaly,UC,Temperature
1750,1,-1.36,1.46,-5.375
1750,2,-0.04,2.08,-2.246
1750,3,2.24,2.57,3.64
1750,4,0.43,1.19,6.188
1750,5,-1.15,1.23,9.353
1750,6,0.32,1.28,14.347
1750,7,0.65,1.48,16.154
1750,8,0.57,1.17,15.555
1750,9,-0.25,1.95,11.643
1750,10,-1.02,1.06,5.78
1750,11,-3.59,1.19,-1.88
1750,12,-2.30,1.46,-4.839
1751,1,-1.80,1.52,-5.822
1751,2,-3.17,1.46,-5.382
1751,3,1.12,1.21,2.519
1751,4,-1.78,1.09,3.979
1751,5,-0.73,1.23,9.774
1751,6,-0.43,1.31,13.603
1751,7,1.00,1.35,16.504
1751,8,1.23,1.01,16.224
1751,9,-0.27,0.98,11.622
1751,10,-1.11,1.20,5.69
1751,11,-3.23,1.32,-1.522
1751,12,-2.17,1.92,-4.705
1752,1,-0.90,1.59,-4.922
1752,2,0.85,1.41,-1.36
1752,3,0.17,1.07,1.566
1752,4,-1.00,1.24,4.757
1752,5,-0.78,1.12,9.725
1752,6,1.81,0.99,15.844
1752,7,0.63,1.19,16.127
1752,8,-0.81,1.47,14.184
1752,9,NaN,NaN,11.89
1752,10,-0.28,1.15,6.52
1752,11,-0.37,1.27,1.341
1752,12,-1.04,1.67,-3.584
1753,1,-2.07,1.43,-6.093
1753,2,-1.02,1.58,-3.23
1753,3,1.00,1.10,2.396
1753,4,0.48,1.48,6.235
1753,5,0.34,0.77,10.842
1753,6,1.15,1.43,15.179
1753,7,0.54,1.36,16.038
1753,8,-0.81,1.03,14.176
1753,9,-0.49,0.94,11.402
1753,10,-0.27,0.98,6.534
1753,11,-1.82,0.98,-0.109
1753,12,-1.56,2.79,-4.096
1754,1,-1.02,1.44,-5.041
1754,2,-2.35,1.49,-4.561
1754,3,-3.52,0.78,-2.123
1754,4,0.06,1.23,5.824
1754,5,1.14,0.97,11.635
1754,6,0.82,1.14,14.851
1754,7,-0.51,1.50,14.99
1754,8,0.26,1.22,15.254
1754,9,-0.78,1.19,11.114
1754,10,0.88,1.27,7.684
1754,11,0.52,2.17,2.232
1754,12,-0.31,1.28,-2.851
1755,1,-4.05,1.46,-8.07
1755,2,-4.46,2.01,-6.671
1755,3,-0.98,1.15,0.424
1755,4,3.25,1.83,9.011
1755,5,0.22,0.98,10.723
1755,6,2.48,1.77,16.506
1755,7,0.45,2.48,15.947
1755,8,-1.17,1.26,13.82
1755,9,-1.54,0.95,10.355
1755,10,-0.20,0.78,6.596
1755,11,-1.59,2.37,0.117
1755,12,0.27,1.46,-2.27
1756,1,0.97,2.01,-3.047
1756,2,1.30,5.01,-0.914
1756,3,0.46,3.02,1.855
1756,4,-0.82,2.38,4.936
1756,5,-0.14,5.65,10.36
1756,6,1.96,2.04,15.992
1756,7,0.46,8.15,15.962
1756,8,0.39,1.84,15.382
1756,9,0.09,1.50,11.98
1756,10,-0.53,9.04,6.275
1756,11,-2.68,0.89,-0.967
1756,12,-2.05,1.40,-4.594
1757,1,-2.20,1.47,-6.224
1757,2,0.20,2.82,-2.014
1757,3,-0.51,4.37,0.894
1757,4,1.12,1.91,6.877
1757,5,0.90,1.95,11.397
1757,6,1.84,1.75,15.872
1757,7,3.12,3.20,18.622
1757,8,1.31,4.43,16.295
1757,9,-1.35,6.58,10.542
1757,10,-3.95,6.31,2.849
1757,11,-1.02,8.61,0.692
1757,12,-1.72,1.38,-4.26
1758,1,-3.98,6.89,-8.002
1758,2,-2.36,2.32,-4.566
1758,3,-0.37,1.41,1.032
1758,4,-0.52,3.71,5.236
1758,5,0.37,5.52,10.871
1758,6,0.92,4.14,14.954
1758,7,-1.84,4.09,13.659
1758,8,-0.63,6.37,14.359
1758,9,-2.17,2.18,9.72
1758,10,-2.57,0.94,4.233
1758,11,-0.65,1.44,1.059
1758,12,0.13,1.27,-2.41
1759,1,1.68,1.50,-2.343
1759,2,1.49,6.59,-0.72
1759,3,0.29,4.13,1.693
1759,4,0.14,5.62,5.9
1759,5,-0.70,4.16,9.798
1759,6,0.79,4.48,14.818
1759,7,1.54,4.88,17.041
1759,8,0.01,1.32,15.004
1759,9,-0.38,2.49,11.512
1759,10,0.00,6.16,6.802
1759,11,-3.94,7.00,-2.225
1759,12,-2.13,2.66,-4.67
1760,1,-1.40,6.36,-5.42
1760,2,-1.45,8.85,-3.66
1760,3,-1.68,3.13,-0.28
1760,4,1.38,1.13,7.137
1760,5,0.62,2.99,11.123
1760,6,0.96,1.56,14.987
1760,7,0.30,1.42,15.797
1760,8,-0.48,6.62,14.508
1760,9,-0.51,1.84,11.382
1760,10,-0.17,1.68,6.633
1760,11,-0.48,7.02,1.23
1760,12,0.59,3.67,-1.952
1761,1,-1.47,1.50,-5.49
1761,2,0.11,4.55,-2.097
1761,3,1.48,1.47,2.876
1761,4,-0.03,1.23,5.726
1761,5,1.81,2.36,12.314
1761,6,1.33,2.42,15.358
1761,7,1.17,1.10,16.674
1761,8,1.04,3.10,16.03
1761,9,1.12,3.31,13.005
1761,10,-2.47,2.81,4.328
1761,11,-1.10,9.16,0.612
1761,12,-3.56,1.59,-6.102
1762,1,0.54,9.89,-3.482
1762,2,-0.85,2.78,-3.059
1762,3,-2.97,6.43,-1.565
1762,4,2.26,2.92,8.018
1762,5,1.28,4.76,11.781
1762,6,-0.14,3.25,13.893
1762,7,0.92,3.33,16.418
1762,8,-0.36,2.77,14.628
1762,9,-0.54,3.85,11.354
1762,10,-1.83,5.07,4.97
1762,11,-1.03,1.95,0.684
1762,12,-3.79,2.86,-6.333
1763,1,-4.34,7.28,-8.356
1763,2,1.34,7.54,-0.873
1763,3,-1.63,3.66,-0.227
1763,4,-0.54,4.11,5.22
1763,5,-1.31,5.37,9.187
1763,6,-0.50,7.00,13.526
1763,7,0.75,1.72,16.254
1763,8,1.13,4.95,16.122
1763,9,-1.37,4.81,10.521
1763,10,-2.30,1.48,4.504
1763,11,-1.65,3.88,0.056
1763,12,0.83,2.85,-1.715
1764,1,1.34,2.90,-2.683
1764,2,2.12,2.79,-0.087
1764,3,-1.87,2.62,-0.472
1764,4,-0.83,7.56,4.931
1764,5,1.90,1.64,12.397
1764,6,-0.14,5.15,13.886
1764,7,0.74,5.25,16.241
1764,8,-1.46,1.36,13.531
1764,9,-1.92,5.43,9.971
1764,10,-1.85,2.95,4.951
1764,11,-1.53,4.15,0.177
1764,12,0.21,3.76,-2.333
1765,1,2.74,10.61,-1.284
1765,2,-2.43,3.97,-4.644
1765,3,1.20,3.01,2.599
1765,4,0.62,1.67,6.377
1765,5,-0.83,1.71,9.666
1765,6,0.09,4.41,14.124
1765,7,-1.99,5.11,13.513
1765,8,-0.35,2.82,14.642
1765,9,-0.87,1.27,11.023
1765,10,-0.17,1.39,6.628
1765,11,-0.75,3.24,0.959
1765,12,-1.90,2.01,-4.438
1766,1,-4.20,8.57,-8.219
1766,2,-2.18,2.98,-4.394
1766,3,-0.08,2.35,1.322
1766,4,0.89,4.22,6.65
1766,5,0.87,3.32,11.367
1766,6,0.63,8.47,14.664
1766,7,-1.20,5.06,14.299
1766,8,-0.25,3.67,14.742
1766,9,-0.45,2.95,11.442
1766,10,-1.16,2.96,5.639
1766,11,0.54,4.13,2.253
1766,12,-1.86,4.24,-4.399
1767,1,-7.12,7.23,-11.138
1767,2,1.39,9.15,-0.824
1767,3,-0.32,8.13,1.079
1767,4,-2.15,7.00,3.608
1767,5,-1.37,2.35,9.132
1767,6,-0.85,4.56,13.176
1767,7,0.26,5.40,15.762
1767,8,-0.31,2.45,14.681
1767,9,-0.71,3.88,11.182
1767,10,-0.48,3.72,6.316
1767,11,1.42,10.77,3.133
1767,12,-3.33,4.89,-5.868
1768,1,-5.06,5.47,-9.078
1768,2,-2.98,7.05,-5.194
1768,3,-1.88,5.23,-0.483
1768,4,-0.34,1.97,5.424
1768,5,-0.25,2.93,10.249
1768,6,-1.02,2.20,13.013
1768,7,0.40,2.74,15.901
1768,8,0.05,2.12,15.044
1768,9,-1.83,3.17,10.062
1768,10,-1.43,2.55,5.372
1768,11,-1.02,5.44,0.695
1768,12,-1.84,8.94,-4.382
1769,1,1.17,7.96,-2.848
1769,2,-1.07,5.47,-3.277
1769,3,-1.06,5.88,0.341
1769,4,0.29,5.52,6.046
1769,5,-0.54,6.22,9.965
1769,6,-0.33,2.67,13.698
1769,7,-0.24,2.51,15.264
1769,8,-1.00,4.20,13.99
1769,9,-0.35,0.96,11.545
1769,10,-4.82,2.72,1.977
1769,11,-0.39,1.40,1.316
1769,12,-0.86,3.98,-3.404
1770,1,-1.42,7.03,-5.44
1770,2,-0.70,2.94,-2.907
1770,3,-2.88,1.62,-1.477
1770,4,-1.62,6.94,4.142
1770,5,-0.43,1.58,10.069
1770,6,-0.98,5.36,13.05
1770,7,-1.14,2.50,14.365
1770,8,-0.63,5.28,14.357
1770,9,0.37,1.93,12.264
1770,10,-0.51,3.48,6.29
1770,11,-0.22,8.06,1.489
1770,12,0.80,4.66,-1.741
1771,1,0.05,2.08,-3.972
1771,2,-3.25,1.56,-5.461
1771,3,-3.11,3.47,-1.711
1771,4,-3.53,4.52,2.231
1771,5,2.20,8.60,12.701
1771,6,-1.13,2.38,12.904
1771,7,-0.38,1.37,15.122
1771,8,-0.96,2.12,14.031
1771,9,-0.36,1.93,11.526
1771,10,-0.62,1.20,6.183
1771,11,-3.63,1.89,-1.924
1771,12,0.02,3.14,-2.525
1772,1,1.13,8.99,-2.892
1772,2,2.23,11.62,0.019
1772,3,1.27,2.94,2.669
1772,4,-0.09,3.24,5.67
1772,5,-1.69,1.29,8.806
1772,6,1.43,6.91,15.457
1772,7,0.59,3.65,16.093
1772,8,0.05,4.56,15.037
1772,9,0.53,3.42,12.42
1772,10,0.41,1.77,7.206
1772,11,1.62,6.57,3.331
1772,12,0.43,3.58,-2.11
1773,1,1.11,2.46,-2.907
1773,2,-1.68,3.70,-3.889
1773,3,-1.43,2.31,-0.027
1773,4,-0.30,2.28,5.458
1773,5,1.50,2.67,11.996
1773,6,-0.91,2.09,13.125
1773,7,-1.36,2.24,14.138
1773,8,-0.95,2.05,14.044
1773,9,0.46,2.33,12.345
1773,10,0.92,2.18,7.721
1773,11,-0.84,7.61,0.867
1773,12,2.28,5.18,-0.257
1774,1,-0.56,6.99,-4.583
1774,2,0.10,7.66,-2.107
1774,3,0.99,2.63,2.393
1774,4,2.15,6.52,7.905
1774,5,1.00,2.02,11.498
1774,6,0.81,10.13,14.843
1774,7,0.14,9.53,15.637
1774,8,0.92,2.64,15.906
1774,9,-1.20,2.12,10.692
1774,10,-1.31,6.87,5.493
1774,11,-4.72,4.69,-3.009
1774,12,-3.38,6.82,-5.92
1775,1,-0.83,6.88,-4.845
1775,2,2.49,1.64,0.284
1775,3,0.98,1.24,2.382
1775,4,-1.43,3.66,4.334
1775,5,-1.32,6.81,9.185
1775,6,1.61,6.47,15.644
1775,7,0.70,3.62,16.204
1775,8,1.47,5.34,16.464
1775,9,0.92,4.97,12.808
1775,10,0.42,2.40,7.215
1775,11,-0.30,2.62,1.414
1775,12,-1.50,2.44,-4.043
1776,1,-4.76,1.98,-8.78
1776,2,1.26,4.88,-0.954
1776,3,1.14,3.08,2.535
1776,4,-0.11,3.39,5.647
1776,5,-1.73,5.48,8.773
1776,6,-0.12,1.84,13.915
1776,7,0.03,4.57,15.533
1776,8,0.39,3.16,15.376
1776,9,-1.48,3.91,10.41
1776,10,-1.84,5.38,4.964
1776,11,-1.79,3.12,-0.077
1776,12,-2.38,3.76,-4.923
1777,1,-2.32,6.50,-6.342
1777,2,-1.17,2.98,-3.383
1777,3,1.35,2.24,2.747
1777,4,-1.69,4.15,4.066
1777,5,0.07,2.48,10.574
1777,6,-0.40,3.87,13.633
1777,7,-1.20,2.74,14.296
1777,8,0.74,2.18,15.726
1777,9,-1.13,5.51,10.765
1777,10,-0.64,4.92,6.161
1777,11,-0.13,3.72,1.579
1777,12,-2.44,1.97,-4.98
1778,1,0.90,5.12,-3.124
1778,2,-1.26,3.81,-3.47
1778,3,0.49,2.86,1.889
1778,4,2.30,3.25,8.056
1778,5,1.67,2.40,12.174
1778,6,-0.42,8.00,13.614
1778,7,2.17,3.07,17.667
1778,8,0.96,5.04,15.948
1778,9,-1.94,1.87,9.948
1778,10,-1.72,4.96,5.085
1778,11,0.02,5.92,1.734
1778,12,2.11,2.09,-0.426
1779,1,-4.08,9.22,-8.099
1779,2,1.70,11.64,-0.51
1779,3,1.31,3.18,2.709
1779,4,3.19,4.97,8.948
1779,5,2.59,2.70,13.088
1779,6,-1.55,5.15,12.478
1779,7,-0.52,2.06,14.982
1779,8,0.41,2.79,15.399
1779,9,0.93,2.36,12.82
1779,10,1.23,4.78,8.028
1779,11,-0.03,3.70,1.678
1779,12,2.57,5.17,0.034
1780,1,-3.28,6.53,-7.295
1780,2,-3.12,7.24,-5.326
1780,3,2.65,2.87,4.045
1780,4,-1.26,1.75,4.499
1780,5,1.41,4.41,11.91
1780,6,0.32,7.62,14.349
1780,7,0.10,5.80,15.604
1780,8,0.61,7.64,15.597
1780,9,-0.96,4.18,10.929
1780,10,0.80,1.64,7.596
1780,11,-1.17,1.95,0.54
1780,12,-2.55,3.67,-5.09
1781,1,-0.64,6.83,-4.662
1781,2,0.01,9.49,-2.205
1781,3,0.80,1.43,2.201
1781,4,1.89,4.36,7.651
1781,5,1.42,3.71,11.918
1781,6,1.30,1.67,15.325
1781,7,0.87,1.90,16.369
1781,8,2.30,1.64,17.293
1781,9,1.38,5.14,13.271
1781,10,-2.19,1.22,4.608
1781,11,0.17,3.05,1.883
1781,12,0.11,6.39,-2.427
1782,1,0.89,3.70,-3.133
1782,2,-4.17,6.84,-6.377
1782,3,-0.96,6.58,0.44
1782,4,-1.03,2.33,4.729
1782,5,-0.28,2.01,10.225
1782,6,1.51,1.91,15.542
1782,7,2.27,2.80,17.768
1782,8,0.48,2.40,15.467
1782,9,-0.90,2.12,10.988
1782,10,-2.51,5.39,4.29
1782,11,-3.91,4.73,-2.2
1782,12,-0.88,5.09,-3.421
1783,1,2.21,3.53,-1.81
1783,2,2.23,2.86,0.015
1783,3,-0.97,2.19,0.428
1783,4,0.24,2.04,6.004
1783,5,1.34,5.41,11.837
1783,6,0.49,6.03,14.516
1783,7,1.31,2.36,16.812
1783,8,0.58,2.22,15.571
1783,9,0.62,5.31,12.506
1783,10,0.42,5.87,7.217
1783,11,-1.16,6.56,0.546
1783,12,-3.31,2.14,-5.853
1784,1,-4.85,9.49,-8.869
1784,2,-4.02,9.07,-6.228
1784,3,-1.68,4.86,-0.276
1784,4,-2.80,2.73,2.959
1784,5,2.40,1.66,12.903
1784,6,0.41,3.53,14.439
1784,7,0.45,3.41,15.952
1784,8,0.05,4.02,15.044
1784,9,1.49,5.15,13.382
1784,10,-3.82,1.55,2.981
1784,11,-0.64,5.76,1.069
1784,12,-1.97,3.29,-4.508
1785,1,-1.06,2.76,-5.083
1785,2,-3.07,6.89,-5.282
1785,3,-6.99,6.15,-5.587
1785,4,-3.67,4.56,2.093
1785,5,-0.43,1.47,10.066
1785,6,-1.21,5.24,12.818
1785,7,-0.97,2.51,14.532
1785,8,-1.17,1.88,13.817
1785,9,1.63,1.63,13.516
1785,10,-1.23,6.57,5.573
1785,11,-0.33,1.30,1.385
1785,12,-0.48,2.03,-3.023
1786,1,-0.54,2.73,-4.558
1786,2,-1.01,3.74,-3.221
1786,3,-1.33,4.68,0.073
1786,4,1.34,2.40,7.097
1786,5,-0.88,3.23,9.616
1786,6,0.53,3.54,14.561
1786,7,-1.83,1.96,13.669
1786,8,-1.89,1.58,13.105
1786,9,-1.82,1.50,10.067
1786,10,-3.26,3.75,3.541
1786,11,-3.06,3.19,-1.354
1786,12,-0.80,3.43,-3.344
1787,1,-1.74,8.42,-5.755
1787,2,0.76,5.34,-1.447
1787,3,0.72,3.47,2.12
1787,4,-1.43,3.18,4.333
1787,5,-2.05,1.41,8.452
1787,6,0.94,3.02,14.966
1787,7,-0.39,4.34,15.115
1787,8,0.89,1.65,15.876
1787,9,-0.84,2.71,11.048
1787,10,1.20,0.88,8.003
1787,11,0.16,4.45,1.874
1787,12,2.44,2.28,-0.099
1788,1,1.56,5.59,-2.465
1788,2,0.51,4.45,-1.701
1788,3,0.78,4.91,2.176
1788,4,0.08,5.45,5.843
1788,5,0.78,2.02,11.282
1788,6,1.67,0.97,15.699
1788,7,2.87,3.98,18.371
1788,8,-1.18,2.64,13.81
1788,9,1.11,3.63,12.996
1788,10,-1.10,3.65,5.703
1788,11,-2.63,3.23,-0.921
1788,12,-6.99,8.40,-9.53
1789,1,-2.54,4.78,-6.562
1789,2,1.22,1.96,-0.993
1789,3,-3.73,6.48,-2.326
1789,4,1.39,2.78,7.145
1789,5,3.20,5.29,13.703
1789,6,-1.13,1.19,12.903
1789,7,0.23,2.96,15.73
1789,8,-0.41,1.41,14.582
1789,9,-0.39,1.53,11.501
1789,10,0.04,2.87,6.844
1789,11,-0.54,4.91,1.174
1789,12,-0.18,3.99,-2.721
1790,1,0.64,2.03,-3.385
1790,2,1.89,4.95,-0.317
1790,3,0.03,3.46,1.433
1790,4,-1.69,1.68,4.073
1790,5,1.82,4.72,12.323
1790,6,1.24,1.59,15.269
1790,7,-1.13,1.46,14.372
1790,8,0.48,0.85,15.471
1790,9,-1.22,1.67,10.674
1790,10,-0.22,1.96,6.583
1790,11,-0.70,1.48,1.012
1790,12,0.64,6.17,-1.904
1791,1,3.21,5.52,-0.814
1791,2,0.42,3.40,-1.787
1791,3,0.93,3.54,2.333
1791,4,2.39,1.76,8.151
1791,5,0.02,1.20,10.515
1791,6,-0.49,3.09,13.536
1791,7,0.17,2.04,15.665
1791,8,1.88,1.81,16.867
1791,9,-1.03,1.65,10.861
1791,10,-0.44,1.18,6.356
1791,11,-1.80,3.28,-0.086
1791,12,0.81,1.77,-1.727
1792,1,-0.11,4.04,-4.131
1792,2,-1.43,5.11,-3.636
1792,3,0.93,2.14,2.329
1792,4,1.42,1.44,7.18
1792,5,-0.36,1.93,10.139
1792,6,0.85,1.35,14.883
1792,7,0.99,3.52,16.487
1792,8,0.74,2.70,15.727
1792,9,-0.98,2.54,10.909
1792,10,-0.52,1.79,6.285
1792,11,-0.71,2.53,1
1792,12,-0.25,2.29,-2.792
1793,1,-2.18,3.31,-6.2
1793,2,1.29,2.69,-0.916
1793,3,-0.19,2.37,1.214
1793,4,-1.81,3.97,3.949
1793,5,-0.68,1.39,9.819
1793,6,-1.06,3.68,12.974
1793,7,1.96,3.48,17.459
1793,8,1.38,3.83,16.365
1793,9,-0.62,3.99,11.269
1793,10,1.49,3.05,8.286
1793,11,0.69,6.75,2.404
1793,12,1.71,3.42,-0.829
1794,1,1.45,3.92,-2.566
1794,2,2.84,7.21,0.631
1794,3,2.54,2.44,3.941
1794,4,3.83,3.56,9.588
1794,5,1.34,2.70,11.84
1794,6,0.97,4.21,14.997
1794,7,2.87,6.47,18.37
1794,8,-0.66,2.53,14.333
1794,9,-1.99,1.15,9.896
1794,10,-0.63,1.77,6.174
1794,11,0.18,3.42,1.891
1794,12,-1.48,4.33,-4.024
1795,1,-6.37,2.87,-10.392
1795,2,-1.08,4.31,-3.287
1795,3,-0.22,1.63,1.184
1795,4,2.27,4.78,8.025
1795,5,0.58,3.65,11.077
1795,6,0.88,2.97,14.907
1795,7,-1.98,2.13,13.525
1795,8,0.67,2.50,15.664
1795,9,0.27,1.60,12.162
1795,10,3.06,3.55,9.864
1795,11,-1.90,4.07,-0.186
1795,12,2.05,4.74,-0.488
1796,1,4.97,3.34,0.948
1796,2,1.00,4.42,-1.212
1796,3,-3.21,3.44,-1.81
1796,4,-1.40,2.89,4.359
1796,5,0.32,0.83,10.823
1796,6,-0.09,4.05,13.936
1796,7,0.08,2.67,15.578
1796,8,0.46,4.95,15.446
1796,9,1.62,4.35,13.509
1796,10,-0.31,1.47,6.49
1796,11,-0.95,3.28,0.756
1796,12,-2.73,4.61,-5.274
1797,1,0.76,6.24,-3.259
1797,2,1.17,5.16,-1.045
1797,3,-1.41,6.12,-0.005
1797,4,1.95,5.68,7.714
1797,5,3.41,4.32,13.909
1797,6,-0.56,3.03,13.468
1797,7,2.10,2.43,17.6
1797,8,2.05,4.91,17.04
1797,9,1.42,4.50,13.312
1797,10,0.18,2.01,6.979
1797,11,0.59,2.53,2.3
1797,12,1.15,3.52,-1.393
1798,1,0.79,2.38,-3.23
1798,2,1.84,3.01,-0.366
1798,3,0.20,3.03,1.604
1798,4,0.80,1.87,6.557
1798,5,1.28,2.92,11.783
1798,6,1.09,1.66,15.12
1798,7,0.54,1.89,16.037
1798,8,1.18,5.12,16.165
1798,9,1.32,2.20,13.211
1798,10,-0.99,2.26,5.808
1798,11,-1.52,4.73,0.188
1798,12,-4.46,3.38,-7.003
1799,1,-5.37,1.87,-9.39
1799,2,-1.15,1.84,-3.356
1799,3,-1.17,3.95,0.23
1799,4,-1.19,3.03,4.575
1799,5,-0.51,1.46,9.995
1799,6,-1.51,2.71,12.516
1799,7,-0.63,1.64,14.871
1799,8,0.69,2.00,15.683
1799,9,-0.59,2.81,11.298
1799,10,-0.20,0.82,6.6
1799,11,-0.67,1.59,1.037
1799,12,-4.46,2.71,-6.999
1800,1,0.74,1.49,-3.278
1800,2,-0.64,3.93,-2.846
1800,3,-3.95,2.27,-2.553
1800,4,5.66,1.41,11.416
1800,5,2.62,1.34,13.124
1800,6,-2.02,1.29,12.009
1800,7,-0.39,2.41,15.114
1800,8,1.18,2.28,16.17
1800,9,-0.04,1.84,11.853
1800,10,-1.13,2.31,5.673
1800,11,0.91,3.33,2.62
1800,12,0.10,1.49,-2.442
1801,1,1.40,2.40,-2.625
1801,2,-0.31,3.89,-2.521
1801,3,2.15,1.55,3.552
1801,4,0.89,1.49,6.647
1801,5,2.53,2.60,13.028
1801,6,-1.12,3.00,12.915
1801,7,-0.13,2.79,15.374
1801,8,-1.02,2.06,13.973
1801,9,1.07,1.50,12.96
1801,10,1.51,5.02,8.31
1801,11,1.39,1.60,3.103
1801,12,0.24,3.22,-2.297
1802,1,-3.01,5.24,-7.029
1802,2,-0.81,4.92,-3.017
1802,3,0.09,2.72,1.489
1802,4,0.46,3.39,6.223
1802,5,-0.61,3.70,9.889
1802,6,1.18,3.28,15.208
1802,7,0.14,2.42,15.637
1802,8,2.55,3.24,17.539
1802,9,-0.03,1.37,11.857
1802,10,2.84,2.99,9.636
1802,11,0.48,2.99,2.194
1802,12,0.47,1.34,-2.066
1803,1,-2.25,3.18,-6.271
1803,2,-3.80,4.27,-6.009
1803,3,-0.76,3.89,0.643
1803,4,2.96,1.82,8.723
1803,5,-1.44,2.36,9.058
1803,6,-0.62,0.79,13.415
1803,7,0.93,2.43,16.431
1803,8,0.92,3.03,15.909
1803,9,-2.42,1.59,9.474
1803,10,-1.07,4.24,5.735
1803,11,0.30,2.28,2.008
1803,12,0.04,2.15,-2.5
